Code	Office location	Jurisdiction area	Annotations
KL-27	Tiruvalla, Pathanamthitta District	Tiruvalla, Tirumoolapuram, Othera, Manjadi, Parumala, Valanjavattom	
KL-28	Mallappally, Pathanamthitta District	Mallappally, Kaviyoor	
KL-29	Kayamkulam, Alappuzha District	Karthikapalli, Kayankulam Town, Krishnapuram, Harippad, Shaktipuram, Karuvatta, Manarssala	
KL-30	Chengannur, Alappuzha District	Chengannur, Cheriyanad, Budhannur, Pandanad, Venmani-kalyathra	
KL-31	Mavelikkara, Alappuzha District	Mavelikara, Chettikulangara, Kattanam, Mannar, Charummod, Adhikattukulangara, Aakanattukara, Vallikonam, Vathukonam, Vettiyar	
KL-32	Cherthala, Alappuzha District	Cherthala, Tiruvizha, Pattanakkad, Vayalar, Turavur, Aroor, Eramalloor, Varanad, Mannancherry, Panavally, Varanam	
KL-33	Changanassery, Kottayam District	Changanassery, Nalukodi, Kurichi, Chingavanam, Karukachal, Perunna,Vazhoor,Kangazha,Vellavoor	
KL-34	Kanjirapalli, Kottayam District	Kanjirapalli, Erumelli, Mundakayam, Ponkunnam, Chirrakadavu, Anchillappa, Anakkal,Koottickal	
KL-35	Pala, Kottayam District	Meenachil, Erattupetta, Poonjar, Bharananganam, Kadanad, Kidangoor, Mutholi, Poovarani, Melukavu, Thalanad, Teekoi, Moonnilavu, Thalappulam, Thidanad	
KL-36	Vaikom, Kottayam District	Vaikom, Talayolaparambu . Udayanapuram, Vadayar, Kaduthuruthi, Vechoor	
KL-37	Vandiperiyar, Idukki District	Peerumed, Elappara, Kuttikanam, Vandiperiyar, Kumili, Kattappana, Kambammedu, Mangaladevi	
KL-38	Thodupuzha, Idukki District	Thodupuzha, Kumaramangalam .Vengannur, Muttum, Uravvappara, Malankara, Moolamattam	
KL-39	Thripunithura, Ernakulam District	Thripunithura, Udayamperoor, Cheppanam-Chattamma, Kanjiramattom, Mulanthuruthy, Chottanikkara	Covers parts of Greater Kochi outside Kochi Corporation limits	
KL-40	Perumbavoor, Ernakulam District	Kunnathunad, Nellad, Valayanchirangara, Chellamattom, Thottuva, Rayamangalam, Pattimattam	
KL-41	Aluva, Ernakulam District	Aluva	Covers parts of Greater Kochi outside Kochi Corporation limits	
KL-42	North Paravur, Ernakulam District	North Paravur, Munambam, Cherrai, Vypin, Puthuvype	Covers parts of Greater Kochi outside Kochi Corporation limits	
KL-43	Fort Kochi, Ernakulam District	Kochi Corporation Area, Pallurthi, Kumbalangi	Covers parts of Greater Kochi, including those outside Kochi Corporation limits	
KL-44	Kothamangalam, Ernakulam District	Kothamangalam Taluk, Odakkali, Neriyamangalam, Bhootathankettu	
KL-45	Irinjalakuda, Thrissur District	Mukundapuram Taluk, Ashtamichira, Annammanada, Mala, Cherppu, Kandassamkadavu	
KL-46	Guruvayur, Thrissur District	Guruvayur Taluk, Chhavakad, Chettuva, Pavaratti	
KL-47	Kodungallur, Thrissur District	Kodungallur, Methala, Sringapuram	
KL-48	Wadakkancherry, Thrissur District	Wadakkancherry, Thiruvilwamala, Pazhayannur, Chelakkara, Anthimahal, Uthralikavu, Mulangunathukavu, Deshamangalam, Chittada, Malakha, Akamalavaram	
KL-49	Alathur, Palakkad District	Alathur, Vadakkenchery, Kavassery, Kuzhalmannam, Thenkurissi, Kottayi, Mathur, Peringottukurissi	
KL-50	Mannarkkad, Palakkad District	Mannarkkad, Attapadi, Tachampara, Karimba, Kanjirapuzha	
KL-51	Ottapalam, Palakkad District	Ottapalam, Shoranur, Palapuram, Chinnakathur, Vengasserri, Cherpulasherri, Vandannamkurishi, Sreekrishnapuram	
KL-52	Pattambi, Palakkad District	Pattambi, Thrithala, Koottanad, Vallapuzha, Koppam	
KL-53	Perinthalmanna, Malappuram District	Perinthalmanna, Edappatta, Kizhattur, Aliparamba, Elamkulam, Thahekode, Vettathur, Pulamnathole, Melatur, Angadippuram, Kuruva, Mankada, Puzhakatiri, Moorkkanad, Makkaraparamba	
KL-54	Ponnani, Malappuram District	Ponnani, Edappal, Alankode, Marancheri, Nannammukku, Perumpadappu, Veliynakode, Thavanur, Kaladi, Vattamkulam	
KL-55	Tirur, Malappuram District	Tirur, Tirunnavaya, Tanur, Valancheri, Kalapancheri, Valavannur, Vettam, Thalakkad, Athavanad, Ponmundam, Cheriyamundam, Ozhur, Nirmaruthur, Thanalur, Edayur, Irimbiliyma, Marakkara, Kuttippuram, Purathur, Mangalam, Thrippangode	
KL-56	Koyilandy, Kozhikode District	Koyilandy, Payyoli, Chemancheri	
KL-57	Koduvally, Kozhikode District	Mukkam, Kunnamangalam, Koduvally, Thamarasseri, Elettiyil, Vattoli, Mavoor, Thiruvambadi, Kattangal	
KL-58	Thalassery, Kannur District	Thalassery, Anjarakandy, Koothuparamba, Gopalpet, Chokli, Pinarayi, Pathirayad, Sivapuram	
KL-59	Taliparamba, Kannur District	Taliparamba, Sreekandapuram, Alakkode, Karthikapuram, Payyavoor, Irikkur, Chemperi, Mayyil	
KL-60	Kanhangad, Kasargod District	Hosdurg, Balla, Nileshwaram, Trikkarippur, Cheruvathur	
KL-61	Sasthamkotta, Kollam District	Sasthamkotta, Bharanikkavu, Kallada, Anayadi	
KL-62	Ranni, Pathanamthitta District	Ranni Perinad, Kuravamoozhi, Mandamaruthi	
KL-63	Angamaly, Ernakulam District	Angamaly, Karukutti, Tirumoozhikulam, Malayathur, Kodannad, Yordhanapuram	
KL-64	Chalakkudy, Thrissur District	Chalakkudy, Athirapalli, Malakkapara, Poringu, Potta, Kodakara	
KL-65	Tirurangadi, Malappuram District	Tirurangadi, Thenhipalam, Parappanangadi, Kottakkal, Edarikode, Parappur, Othukkungal, Oorakam, Vengara, Kannamangalam, Peruvalloore, AR Nagar, Perumanna Klari, Thennala, Nannambra, Moonniyur, Vallikkunnu	Covers Entire Tirurangadi Taluk & parts of Tirur Taluk	
KL-66	Kuttanad, Alappuzha District	Champakulam . Kainakari, Ramankari, Champakulam, Nedumudi, Thakazhi, Edatuva, Thalavadi, Mancompu	
KL-67	Uzhavoor, Kottayam District	Uzhavur, Ramapuram, Njeezhoor, Kuravilangad, Monipalli, Aandoor, Kuruppanthara	
KL-68	Devikulam, Idukki District	Devikulam, Munnar, Marayur, Chinnar, Boddimettu, Mattupetti, Vatavada, Kanthaloor, Chinnakanal	
KL-69	Udumbanchola, Wayanad District	Udumbancholla, Nedumkandam, Rajakumari, Rajakkad, Bisson valley, Chithirapuram, Vellathooval	
KL-70	Chittur, Palakkad District	Chittur, Thathamangalam, Meenakshipuram, Gopalapuram, Govindapuram, Kollengode, Koduvayur, Pudunagaram, Nenmara, Neliyampathy	
KL-71	Nilambur, Malappuram District	Nilambur, Wandoor, Chaliyar, Vazhikkadavu, Edakakra, Pothukkallu, Chungathara, Mothedam, Amarambalam, Karulai, Thiruvali, Mampad, Porur, Kalikavu, Chokkad, Karuvarakundu, Thuvvoor	
KL-72	Mananthavady, Wayanad District	Manathawadi, Ambalavayal, Kottiyur, Tirunelli, Tholpetti, Bramhagiri	
KL-73	Sulthan Bathery, Wayanad District	Sulthan Bathery, Muthanga, Meenangadi	
KL-74	Kattakada, Thiruvananthapuram District	Kattakada, Malayankeezh, Vilappil, Otasekharamangalam, Amboori, Vellarda, Vilvoorkal	
KL-75	Thriprayar, Thrissur District	Thriprayyar, Vadannapalli, Valappad, Nattikka	
KL-76	Nanmanda, Kozhikode District	Balusseri, Atholli, Chelannur, Kakkodi, Kuruvattur	
KL-77	Perambra, Kozhikode District	Perambra, Kuttiyadi	
KL-78	Iritty, Kannur District	Iritty, Aralam, Mattannur, Peravoor, Kottiyoor, Kelakam	
KL-79	Vellarikundu, Kasargod District	Vellarikundu, Chittarikkal, Rajapuram, Ranipuram, Bandadukka	
KL-80	Pathanapuram, Kollam District	Pathanapuram, Manchaloor, Pattazhi, Pakalkuri, Avaneeswaram	
KL-81	Varkala, Thiruvananthapuram District	Varkala, Sivagiri, Anchuthengu, Edavai	
KL-82	Chadayamangalam, Kollam District	Aayur, Jetayupara, Kadakkal, Nilammel, Vamanapuram,	
KL-83	Konni, Pathanamthitta District	Konni, Koodal-Rajagiri, Gavi	
KL-84	Kondotty, Malappuram District	Karippur, Kondotty, Pallikkal, Chelembra, Kuzhimanna, Cherukavu, Muthuvallore, Vazhayur, Vazhakkad, Pulikkal, Chekkode, Morayur, Keezhuparmab, Areekode, Orgnatteeri	Covers Entire Kondotty Taluk Full & parts of Ernad Taluk
KL-85	Ramanattukara-Feroke, Kozhikode District	Feroke, Ramanattukara, Kadalundi Beypore, Nallalam, Olavanna, Perumanna	
KL-86	Payyannur, Kannur District	Payyannur, Ramanthali, Cherupuzha, Peringome, Kankole, Kadannappally-Panapuzha, Eramam-Kuttoor, Karivellur	
KL-90	Thiruvananthapuram	Used exclusively for Government Vehicle's (KL-90A: Kerala Government, KL-90B: Central Government, KL-90C: Local body and KL-90D: Public sector)	
KL-99	Thiruvananthapuram	Used exclusively for State Transport Authority vehicles	Limited in circulation
